,,,,,,,,,,
start,start time,end,end time,class,App variable,Table,Schema variable,method,Map source,Valid in use case
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightWeightBand.java,id,CKWL_FRETE_SIMPLES_FAIXA_PESO,CD_FRETE_SIMPLES_FAIXA_PESO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightWeightBand.java,description,CKWL_FRETE_SIMPLES_FAIXA_PESO,NM_FAIXA_PESO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightWeightBand.java,minValue,CKWL_FRETE_SIMPLES_FAIXA_PESO,VL_PESO_MINIMO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",SimpleFreightWeightBand.java,maxValue,CKWL_FRETE_SIMPLES_FAIXA_PESO,VL_PESO_MAXIMO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",State.java,id,CKWL_ESTADO,CD_ESTADO,JPA,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",State.java,stateDescription,CKWL_ESTADO,NM_ESTADO,JPA,,use case 1
ae86cb3cebfa88a4124315d74bbc29bbc7b41c16,"October 31, 2014 at 14:33:52 GMT-4",e372889b75b11ad87cbdd5689857585285e67802,"March 21, 2016 at 14:50:02 GMT-4",CutOffTimeInfo.java,startTime,CKWL_CD_CUT_OFF_TIME,HORARIO_INICIAL,row mapper,,
ae86cb3cebfa88a4124315d74bbc29bbc7b41c16,"October 31, 2014 at 14:33:52 GMT-4",e372889b75b11ad87cbdd5689857585285e67802,"March 21, 2016 at 14:50:02 GMT-4",CutOffTimeInfo.java,endTime,CKWL_CD_CUT_OFF_TIME,HORARIO_FINAL,row mapper,,
ae86cb3cebfa88a4124315d74bbc29bbc7b41c16,"October 31, 2014 at 14:33:52 GMT-4",e372889b75b11ad87cbdd5689857585285e67802,"March 21, 2016 at 14:50:02 GMT-4",CutOffTimeInfo.java,additionalTime,CKWL_CD_CUT_OFF_TIME,TEMPO_CD_ADICIONAL,row mapper,,
e0b2f7bea7e893d5d339eb0f13de9c68087a02d0,"May 15, 2013 at 16:40:24 GMT-4",4dc7f55278ea9d90e08816226f690667d16ddd1a,"October 10, 2013 at 18:49:27 GMT-4",FreightByValueResultSet.java,freightValueType,CKWL_FRETE_POR_VALOR_P_ESP,tp_valor,row mapper,SpecialFreightRepository,use case 2
e0b2f7bea7e893d5d339eb0f13de9c68087a02d0,"May 15, 2013 at 16:40:24 GMT-4",4dc7f55278ea9d90e08816226f690667d16ddd1a,"October 10, 2013 at 18:49:27 GMT-4",FreightByValueResultSet.java,category,CKWL_FRETE_POR_VALOR_P_ESP,nr_categoria,row mapper,SpecialFreightRepository,use case 2
e0b2f7bea7e893d5d339eb0f13de9c68087a02d0,"May 15, 2013 at 16:40:24 GMT-4",4dc7f55278ea9d90e08816226f690667d16ddd1a,"October 10, 2013 at 18:49:27 GMT-4",FreightByValueResultSet.java,value,CKWL_FRETE_POR_VALOR_P_ESP,valor_frete,row mapper,SpecialFreightRepository,use case 2
